Keyword1,Keyword2,Keyword3,Weight1,Weight2,Weight3
打针,这么,得,0.9241,0.2587,0.1333
上衣,气质,从来不,0.8796,0.8111,0.7312
凯迪拉克,手机,款,0.8528,0.7094,0.5866
生病,药,柔美,0.8233,0.5661,0.4626
两小无猜,败坏,被,0.8125,0.7192,0.4429
班级,不经意,常用,0.78,0.6006,0.446
激情,自己,电影,0.8097,0.7035,0.5845
吃到,麻辣烫,吃,0.7762,0.7353,0.7205
师学,剪辑,可以,0.7547,0.5049,0.3723
国产车,根本,产品线,0.7814,0.6337,0.5973
鞭炮,潮流,落伍,0.8246,0.7551,0.7222
销魂,板蓝根,味道,0.8685,0.8602,0.8089
瞩目,身边,多眼,0.8404,0.8046,0.6363
体检,鸡蛋,门口,0.889,0.1473,0.1273
心窍,怦怦直跳,直跳,0.842,0.8366,0.7367
医院,派出所,去,0.8553,0.3576,0.1758
索尼,宣布,市场,0.761,0.6473,0.6359
懒惰,每个,服务,0.7386,0.6301,0.4882
高烧,四十多,脑瓜子,0.9258,0.6078,0.4035
不信,女朋友,瓶内,0.8146,0.8113,0.7177
面皮,深夜,擀,0.8624,0.784,0.6845
诉衷情,香阁,何处,0.8779,0.8283,0.7802
学校,开学,下降,0.9062,0.5985,0.3215
珍惜,其实,痛,0.778,0.7268,0.5734
美好,回头,走入,0.8471,0.7092,0.6118
来,一次,平均,0.63,0.6292,0.5458
恨不得,嘘寒问暖,手牵手,0.8423,0.8151,0.7911
为所欲为,生命,帮助,0.6635,0.6313,0.5865
医院,弱势群体,明明白白,0.8632,0.5421,0.1882
液,哈哈哈,小时,0.3498,0.2723,0.1039
驾驶,胖子,演过,0.8007,0.6238,0.573
煎锅,肉质,担心,0.8113,0.5633,0.2882
真的,更年期,年期,0.7485,0.72,0.2915
真的,照片,饿,0.7789,0.7467,0.6365
一辈子,叹号,工作,0.8297,0.7057,0.559
医院,中秋节,在,0.8987,0.2105,0.0192
寻麻疹,眼睛,一早,0.8316,0.6289,0.3887
住院治疗,治疗,十二,0.9391,0.8198,0.1478
血,最后,片,0.9132,0.1815,0.0766
清晰可见,倒退,退到,0.7792,0.7761,0.7064
超短裙,运动鞋,外套,0.8906,0.8641,0.84
越来越,嗯,未来,0.9031,0.8105,0.7906
回笼觉,大懒猫,”、“,0.899,0.8888,0.6447
是不是,玩笑,老天,0.7871,0.7499,0.7274
割舍,黑夜,感知,0.8382,0.7992,0.757
宿舍,缘分,下班,0.6839,0.6629,0.5232
本末倒置,呵护,朋友,0.8339,0.7763,0.7209
一路上,匆匆,累着,0.8943,0.8264,0.7495
抽血,微笑,的,0.9567,0.1782,0.0468
病房,早日康复,奶奶,0.9294,0.9138,0.3781
婚姻,读本,讲话,0.7371,0.6903,0.4974
菊花茶,咳嗽,行不行,0.8034,0.7139,0.6072
坚强,什么,知道,0.8469,0.7381,0.7347
心灵感应,夕阳,起航,0.835,0.7711,0.5192
医院,深夜,档,0.9384,0.1507,0.0739
大大的,穿,贴布,0.7998,0.7254,0.6977
万箭穿心,很窄,内心,0.832,0.8017,0.7673
我,麻,变成,0.6608,0.5628,0.541
抽血,哭,第一次,0.916,0.2161,0.1793
勇敢,可是,刨根究底,0.8288,0.739,0.611
医院,自从,出来,0.8982,0.1867,0.1056
一周,悲伤,新,0.8723,0.7805,0.6552
伤痛,轻狂,给予,0.849,0.7837,0.6442
傻瓜,感受,有时候,0.8355,0.7395,0.732
莫如,打骂,难受,0.8029,0.7268,0.7069
医院,后脚,考,0.9122,0.2019,0.1591
宝贝,一直,吓,0.8722,0.7306,0.7245
滴汗,离家,一些,0.6869,0.5112,0.404
绝望,有时候,公平,0.8369,0.7659,0.7145
报道,挂,盐水,0.7486,0.3849,0.2937
手术,麻药,翻江倒海,0.9268,0.9138,0.259
夜班,忙,不要,0.8743,0.2679,0.2208
医院,医保卡,咨询台,0.8947,0.8801,0.2513
听诊器,一副,好听,0.8253,0.6417,0.6287
中国空军,中国人民解放军,庆典,0.8747,0.7889,0.5287
手术,疼痛,果断,0.8643,0.8384,0.3201
酒醉,哟,饮酒,0.8573,0.7694,0.5742
祝福,最佳,》，,0.8268,0.7461,0.6531
陪,城市,倔强,0.6867,0.6484,0.6292
自认,不赖,英伦,0.8725,0.8091,0.7771
会教,教会,暖和,0.6453,0.612,0.5412
这辈子,妈妈,辜负,0.8391,0.8222,0.7669
太多,出手,大干一场,0.8057,0.7542,0.6954
山岚,草山,花草,0.8325,0.8005,0.6382
听力,六级,去,0.7371,0.6736,0.249
打交道,提升,下属,0.7842,0.6088,0.3434
奋然,语录,控方,0.8009,0.7762,0.4761
羞答答,钻戒,机会,0.8556,0.8068,0.7376
感情,谁错,离不开,0.8196,0.7938,0.6317
大大的,馋嘴,樱桃,0.8495,0.8141,0.7246
多彩,现在,应用,0.7731,0.6841,0.5862
傻子,流汗,打人,0.7812,0.7726,0.6569
夏天,真是,浪费,0.8562,0.8217,0.6523
明年,伤害,交易,0.7557,0.74,0.7035
胃镜,老公,过来,0.9303,0.2079,0.1318
好吃,知道,烧,0.7976,0.6779,0.6399
交警部门,惊讶,该车,0.6829,0.6337,0.5441
闲言碎语,落寞,理想,0.92,0.8371,0.7514
菜花,为,一本正经,0.8539,0.0959,0.0754
病假,伤,实在,0.7806,0.5717,0.3547
医院,党课,首次,0.8516,0.1841,0.032
肚子,经久不衰,电视机,0.8665,0.8472,0.683
夏天,零食,买,0.8037,0.7552,0.5625
高中时代,发自内心,再也,0.86,0.7921,0.6445
康复,第七天,早点,0.9068,0.4642,0.1721
大片,作品,怎么,0.817,0.7273,0.6782
医院,检查,第一次,0.9178,0.802,0.1692
医院,凌晨,上海,0.9252,0.1692,0.1489
公交车,下班,辆,0.688,0.6872,0.597
手机,显示,开机,0.7712,0.6293,0.6017
栈桥,风光,青岛,0.7601,0.6298,0.5193
学习指南,讲课,主任,0.8908,0.7056,0.281
力所能及,女孩,公主,0.8556,0.7872,0.6848
临床,培养,一上午,0.8741,0.3561,0.2825
睡不着,不着,醒,0.8691,0.7228,0.6298
榨菜,吃,我,0.9247,0.5521,0.2484
今晚,月亮,我,0.8046,0.8036,0.7159
大理,改掉,摄影,0.7836,0.6675,0.5747
